District,Place Name,Alternate Name,Category,Subcategory,Approximate Location,Latitude,Longitude,Short Description,Why Tourism-Relevant,Verification Level,Primary Source,Secondary Source,Existing Duplicate?,Existing Place ID / Slug,Duplicate / Conflict Notes,Current Status,Recommended Action
Gaya,Barabar Caves & Siddheshwar Nath,Barabar Hill Rock Caves,historical,Ancient Rock-Cut Caves / ASI Monument,"Barabar Hills, 24 km north of Gaya (geographically in Jehanabad boundary)",25.0061,85.0621,"Oldest surviving rock-cut caves in India (3rd century BCE Mauryan empire) featuring echo acoustic chambers, high mirror polish, and hill-top Siddheshwar Nath Shiva temple.",World-famous architectural wonder inspired E.M. Forster's A Passage to India.,A,Archaeological Survey of India & Bihar Tourism,State Archaeology,YES,ID 5 (barabar-caves-gaya),Already in HiddenYatra as place ID 5. Note: Hill spans Gaya and Jehanabad district boundary.,EXISTING,KEEP EXISTING
Gaya,Brahmayoni Hill,Brahmayoni Pahar,mountain,Highest Hill Peak & Cave Shrines,Southern edge of Gaya city,24.7700,84.9850,"Highest hill overlooking Gaya (450 stone steps) with ancient natural caves where Buddha delivered the Fire Sermon (Adittapariyaya Sutta) to 1,000 ascetics.","State Protected Monument, panoramic sunset and heritage viewpoint.",A,Bihar State Archaeology & District Administration Gaya,Bihar Tourism,YES,ID 111 (brahmayoni-hill-gaya),Already in HiddenYatra as place ID 111.,EXISTING,KEEP EXISTING
Gaya,Dungeshwari Cave Temples,Mahakala Caves,mountain,Meditation Caves & Hill,"Dungeshwari Hill, 12 km north-east of Bodh Gaya",24.7850,85.0650,"Sacred hill caves where Lord Buddha underwent six years of rigorous penance and fasting before proceeding to Bodh Gaya, featuring golden emaciated Buddha shrine.",Major Buddhist meditation site.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Gaya,BTMC,YES,ID 104 (dungeshwari-cave-temples-mahakala-caves-gaya),Already in HiddenYatra as place ID 104.,EXISTING,KEEP EXISTING
Gaya,Gehlaur Ghati - Dashrath Manjhi Smarak,Mountain Man Memorial,tourist_spot,Inspirational Memorial & Valley Pass,"Gehlaur, Atri block, 30 km east of Gaya",24.8720,85.2420,"360-foot pathway carved single-handedly through solid rocky mountain by Dashrath Manjhi ('The Mountain Man') over 22 years (1960-1982), with memorial, stupa, and visitor centre.",World-famous symbol of human willpower and unique inspirational tourism destination.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Gaya,Incredible India,YES,ID 112 (gehlaur-ghati-dashrath-manjhi-smarak-gaya),Already in HiddenYatra as place ID 112.,EXISTING,KEEP EXISTING
Gaya,"Great Buddha Statue, Bodh Gaya",Daibutsu 80-Foot Buddha,tourist_spot,Colossal Statue & Garden,"Bodh Gaya, 1 km west of Mahabodhi Temple",24.6975,84.9878,"Majestic 80-foot high seated Buddha statue in dhyana mudra carved from red granite and sandstone blocks, consecrated by the 14th Dalai Lama in 1989.",Major visual landmark of Bodh Gaya pilgrimage landscape.,A,Daijokyo Buddhist Temple & Bihar Tourism,District Administration Gaya,YES,ID 7 (great-buddha-statue-bodh-gaya),Already in HiddenYatra as place ID 7.,EXISTING,KEEP EXISTING
Gaya,Kauwadol Hill & Colossal Buddha Statue,Kauwadol Peak,historical,Archaeological Hill & Colossal Rock Sculpture / ASI,"Kurisarai, near Kurkihar, Gaya",24.9745,85.0412,"8-foot monolithic stone statue of Buddha in bhumisparsha mudra dating to the Pala period, flanked by dozens of Hindu rock carvings on Kauwadol hill.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #14-#18)",District Administration Gaya,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gaya,Koncheswar Mahadev Temple,Konch Shiva Temple,historical,Ancient Brick Temple / ASI Monument,"Konch, 28 km west of Gaya",24.9312,84.7812,"Rare 8th-century curvilinear brick temple dedicated to Lord Shiva, showing transitional Gupta-Pala architectural mastery.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #13)",State Archaeology,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gaya,Kurkihar Archaeological Site,Ancient Kukkutapadagiri,historical,Ancient Buddhist Monastery Mound,"Kurkihar village, 22 km east of Gaya",24.8152,85.2512,Famous site of the discovery of 226 exquisite Pala bronzes (now in Patna Museum); ancient Buddhist monastery mound described by Chinese pilgrim Xuanzang.,ASI Centrally Protected Monument.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #19)",Patna Museum Archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gaya,Mahabodhi Temple Complex & Bodhi Tree,Mahabodhi Mahavihara,historical,UNESCO World Heritage Site,"Bodh Gaya, Gaya district",24.6959,84.9914,"Paramount UNESCO World Heritage Site marking the precise spot where Siddhartha Gautama attained Supreme Enlightenment (Bodhi) beneath the sacred Bodhi Tree in 588 BCE, with 55m grand temple.",Most sacred Buddhist pilgrimage destination in the world.,A,UNESCO World Heritage Centre & Bodhgaya Temple Management Committee (BTMC),Archaeological Survey of India & Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gaya,Pretshila Hill & Ram Kund,Pretshila Pahar,mountain,Sacred Hill & Pind Daan Shrine,8 km north-west of Gaya city,24.8150,84.9820,Sacred hill rising 873 feet above ground with Ahilyabai Holkar's Yama temple on the summit and sacred Ram Kund pond at the base for ancestral peace rituals.,State Protected Monument and key Pitrapaksha pilgrimage destination.,A,Bihar State Archaeology & District Administration Gaya,Bihar Tourism,YES,ID 105 (pretshila-hill-ram-kund-gaya),Already in HiddenYatra as place ID 105.,EXISTING,KEEP EXISTING
Gaya,Sujata Stupa & Kuti,Bakraur Stupa,historical,Ancient Brick Stupa / ASI Monument,"Bakraur, across Niranjana (Phalgu) River, Bodh Gaya",24.6925,85.0028,Ancient 8th-century brick stupa commemorating the milk-rice (kheer) offering by maiden Sujata that ended Gautama's severe ascetism prior to enlightenment.,ASI Centrally Protected Monument on the international Buddhist circuit.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #9)",Bodhgaya Temple Management Committee,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gaya,Vishnupad Temple Gaya,Vishnupada Mandir,temple,Historic Pilgrimage Temple / State Protected,"Chandrachur Ghat, Falgu River, Gaya",24.7492,84.9865,"Venerated Hindu temple rebuilt in 1787 by Maharani Ahilyabai Holkar of Indore, housing the 40 cm footmark of Lord Vishnu in solid basalt, and the immortal Akshaya Vat tree.","Core centre of Pind Daan rituals for ancestors, attracting millions during the annual Pitrapaksha Mela.",A,Bihar State Archaeology & District Administration Gaya,Bihar Tourism Spiritual Circuit,YES,ID 6 (vishnupad-temple-gaya),Already in HiddenYatra as place ID 6.,EXISTING,KEEP EXISTING
Gopalganj,Dighwa Dubauli Archaeological Mounds,Dighwa Dubauli Pyramids,historical,Ancient Pyramidal Mounds,"Dighwa Dubauli, Barauli block",26.2815,84.7215,"Two ancient earth and brick mounds, 35 to 40 feet high, surveyed by Alexander Cunningham in 1871, showing early structural remains.",Official historical tourist attraction on gopalganj.nic.in.,A,District Administration Gopalganj (gopalganj.nic.in/tourist-place/dighwa-dubauli/),ASI Cunningham Survey Reports,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gopalganj,Husepur Fort Ruins,Husepur Qila,historical,Historical Fort of Kalyanpur Raj,"Husepur, 22 km from Gopalganj",26.5412,84.2815,"Ruined seat of the historic kings of Kalyanpur (Husepur Raj), who fiercely fought against the British East India Company under Raja Fateh Bahadur Shahi.",Prominent regional history and revolt landmark.,B,District Administration Gopalganj (gopalganj.nic.in),District Gazetteer Saran/Gopalganj,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gopalganj,Lakri Dargah,Shah Arzan Dargah,cultural,Historic Sufi Shrine & 40-Day Urs,Barhariya / Gopalganj border,26.3125,84.4512,16th-century Sufi shrine containing the tomb of Hazrat Shah Arzan with an intricately carved sandalwood tomb gate gifted by Mughal Emperor Akbar; venue of month-long fair.,Significant Sufi pilgrimage site officially documented on gopalganj.nic.in.,A,District Administration Gopalganj (gopalganj.nic.in/tourist-place/lakri-dargah/),Bihar Tourism Sufi records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gopalganj,"Shri Pitambara Peeth, Baglamukhi Mandir",Bagalamukhi Mandir Gopalganj,temple,Tantric Shakti Shrine,Gopalganj town,26.4712,84.4385,"Prominent temple dedicated to Goddess Bagalamukhi with marble sanctum, attracting spiritual seekers for special rituals.",Documented place of worship on official portal.,B,District Administration Gopalganj (gopalganj.nic.in),Local religious directories,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Gopalganj,Thawe Mandir,Thawe Wali Mata / Rahshu Bhagat Dham,temple,Shaktipeeth Temple & Forest Grove,"Thawe, 6 km from Gopalganj town",26.4385,84.3912,"Famous 14th-century Shakti shrine dedicated to Goddess Durga (Thawe Bhawani), with an ancient four-branched tree connected to devotee Rahshu Bhagat; venue of massive Chaitra Mela.","Foremost pilgrimage and cultural landmark of Gopalganj district, state-level tourism destination.",A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Gopalganj,Bihar State Religious Trust Board,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Jamui,Giddheswar Temple,Giddheshwar Dham,temple,Hilltop Shiva Temple,"Gidhaur hills, Jamui",24.8350,86.2200,Ancient Shiva temple situated amidst the scenic hills of Giddheswar where the mythological bird Jatayu is believed to have fought Ravana.,Major regional pilgrimage site.,A,District Administration Jamui & Bihar Tourism,State Religious Trust,YES,ID 57 (giddheswar-temple-jamui),Already in HiddenYatra as place ID 57.,EXISTING,KEEP EXISTING
Jamui,Lachhuar Jain Temple & Kundagram,Lachhuar Digambar Jain Tirth,temple,Jain Pilgrimage & Mahavira Birthplace,"Lachhuar, Sikandra block, 20 km west of Jamui",24.9145,86.0144,Venerated Jain pilgrimage centre with grand Dharamshala and temples; nearby Kshatriya Kund is revered by the Shvetambara tradition as the birthplace of Lord Mahavira.,National-level pilgrimage stop on the official Jain Circuit.,A,Bihar Tourism Jain Circuit & District Administration Jamui,All India Digambar Jain Mahasabha,YES,ID 63 (lachhuar-jain-temple-jamui),Already in HiddenYatra as place ID 63.,EXISTING,KEEP EXISTING
Jamui,"Minto Tower, Gidhaur",Gidhaur Minto Memorial,historical,Colonial Architectural Tower,"Gidhaur, Jamui",24.8579,86.3004,Grand four-faced clock tower erected in 1909 by Maharaja Rameshwar Prasad Singh of Gidhaur to commemorate the visit of British Viceroy Lord Minto.,Unique architectural monument in rural Bihar.,A,District Administration Jamui & Bihar Tourism,State Heritage Archives,YES,ID 61 (minto-tower-gidhaur-jamui),Already in HiddenYatra as place ID 61.,EXISTING,KEEP EXISTING
Jamui,Nagi Dam Bird Sanctuary,Nagi Dam Wetland,nature,Ramsar Wetland & Bird Sanctuary,"Jhajha block, adjacent to Nakti Dam, Jamui",24.8215,86.4685,"Sister wetland to Nakti Dam, declared a Ramsar Wetland of International Importance in 2024, hosting over 1.6% of the biogeographic population of Bar-headed goose.",National-level conservation and eco-tourism landmark.,A,"Ramsar Secretariat & Ministry of Environment, Forest and Climate Change",Bihar Tourism (tourism.bihar.gov.in),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Jamui,Nakti Dam Bird Sanctuary,Nakti Dam Reservoir,nature,Ramsar Wetland & Bird Sanctuary,"Jhajha block, Jamui",24.8450,86.4850,"Designated Ramsar Wetland of International Importance covering 333 hectares; winter refuge for over 20,000 birds including rare Bar-headed Geese.",Premier avian eco-tourism destination in south-eastern Bihar.,A,Ramsar Convention & Bihar Forest Department,Bihar Tourism Eco Circuit,YES,ID 67 (nakti-dam-bird-sanctuary-jamui),Already in HiddenYatra as place ID 67.,EXISTING,KEEP EXISTING
Jamui,Simultala Hill Station,Simultala Colonial Retreat,mountain,Hill Station & Health Resort,"Simultala, southern Jamui",24.7136,86.5422,"Renowned tranquil hill station developed during the British era as a health resort with mild dry climate, colonial bungalows, Latu Pahar hill, and Haldi Jharna waterfall.","The only hill station in Bihar alongside Valmikinagar, celebrated destination for retreat tourism.",A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Jamui,Eastern Railway Heritage Records,YES,ID 59 (simultala-hill-station-jamui),Already in HiddenYatra as place ID 59.,EXISTING,KEEP EXISTING
Jehanabad,Baba Siddheshwarnath Temple,Siddheshwar Nath Mandir,temple,Ancient Hilltop Shiva Temple,"Highest peak of Barabar Hills, Makhdumpur",25.0085,85.0635,Ancient Shiva shrine perched atop the highest peak of the Barabar hill range with ancient stone Nandi and panoramic views of the plains; venue of huge Anant Chaturdashi and Shravani mela.,"Foremost pilgrimage shrine in Jehanabad district, officially featured on jehanabad.nic.in.",A,District Administration Jehanabad (jehanabad.nic.in/tourist-place/barabar/),Bihar Tourism Religious Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Jehanabad,Barabar Caves Complex,Barabar Hill Mauryan Rock Caves,historical,Ancient Rock-Cut Caves / ASI Monument,"Barabar Hills, Makhdumpur block, Jehanabad",25.0061,85.0621,"Four world-famous rock-cut caves (Lomas Rishi, Sudama, Karan Chaupar, Visva Zopri) carved during the reign of Emperor Ashoka in 3rd century BCE for Ajivika ascetics, exhibiting mirror-like glass polish.",ASI Centrally Protected Monument of supreme national and architectural importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #20, #21, #23, #24)",Bihar Tourism (tourism.bihar.gov.in),YES,ID 5 (barabar-caves-gaya),"DISTRICT RECTIFICATION REQUIRED: Currently assigned to Gaya district in HiddenYatra (ID 5), but the Barabar Hills and archaeological monument are administratively located in Makhdumpur block of Jehanabad district.",DUPLICATE,MANUAL REVIEW
Jehanabad,Ghejan Buddhist Archaeological Site,Ghejan Buddha Mandir,historical,Buddhist Archaeological Site / ASI Monument,"Ghejan village, Jehanabad",25.0412,84.9512,"Site housing ancient Buddhist images, colossal stone sculptures, and terracotta remains protected under an official ASI shed.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #27)",State Heritage Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Jehanabad,Hazrat Bibi Kamal Ka Maqbara,"Bibi Kamal Dargah, Kako",cultural,Sufi Mausoleum / First Woman Saint,"Kako, 10 km east of Jehanabad town",25.1852,85.0412,"Mausoleum of Hazrat Bibi Kamal (13th century), revered as the first woman Sufi saint of Bihar, aunt of Hazrat Makhdum Sharfuddin Yahiya Maneri, visited by devotees of all faiths for healing.",Significant historical Sufi shrine documented on official portal.,A,District Administration Jehanabad (jehanabad.nic.in/tourist-place/hazrat-bibi-kamal-ka-makbara/),Bihar Tourism Sufi records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Jehanabad,Nagarjuni Caves,Nagarjuni Hill Caves,historical,Mauryan Inscribed Caves / ASI Monument,"Nagarjuni Hills, 1.5 km north-east of Barabar, Jehanabad",25.0125,85.0785,"Three ancient rock-cut caves (Gopika, Vadathika, Vapiyaka) excavated in 214 BCE by Ashoka's grandson Emperor Dasaratha, bearing Brahmi inscriptions dedicating them to Ajivikas.",ASI Centrally Protected Monuments of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #22, #25, #26)",District Administration Jehanabad,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kaimur,"Baidyanath Temple, Kaimur",Baidyanath Shiva Mandir,historical,Pala-Era Stone Temple / ASI Monument,"Baidyanath village, Ramgarh",25.2815,83.7125,"Ancient stone temple dedicated to Lord Shiva, constructed during the Pala empire with intricately carved door jambs, amalaka shikhara, and loose sculptures.",ASI Centrally Protected Monument and district tourist site.,A,District Administration Kaimur (kaimur.nic.in/tourist-place/baidyanath/) & ASI,State Archaeology,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kaimur,Kaimur Wildlife Sanctuary & Adhaura Hills,Adhaura Plateau,nature,Wildlife Sanctuary & Prehistoric Rock Art,"Kaimur Plateau, Adhaura block",24.8125,83.6125,"Largest wildlife sanctuary in Bihar (1,342 sq km), home to leopards, sloth bears, chital, four-horned antelopes, with dozens of prehistoric rock painting sites and tribal culture.",Proposed second Tiger Reserve of Bihar and flagship eco-tourism region.,A,Bihar Forest Department & National Tiger Conservation Authority (NTCA),Bihar Tourism Eco Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kaimur,Karkatgarh Waterfall & Eco Park,Karkatgarh Dam & Falls,waterfall,Waterfall & Crocodile Eco-Reserve,"Chainpur block, on Karamnasa River",25.0812,83.5124,"Magnificent wide cascading waterfall on Karamnasa river with modern 100-meter suspension suspension bridge, rock-cut viewpoints, and India's first natural crocodile conservation centre.","Top eco-tourism and adventure landscape in Bihar, praised by Mughal Emperor Jahangir in Tuzuk-i-Jahangiri.",A,"Bihar Tourism (tourism.bihar.gov.in) & Department of Environment, Forest and Climate Change",District Administration Kaimur,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kaimur,Maa Mundeshwari Temple,Mundeshwari Devi Mandir,temple,Oldest Functional Temple in India / ASI Monument,"Ramgarh Hill, Bhagwanpur, 14 km from Bhabhua",25.0612,83.7632,"Octagonal stone temple atop a 600-foot hill, confirmed by ASI and epigraphical inscriptions as dating to 108 CE (Saka era), making it the oldest continuously functional Hindu temple in India, famous for non-violent animal sacrifice ritual (Ahimsa Bali).",World-famous national heritage monument and prime spiritual destination of western Bihar.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #31) & Bihar Tourism",Incredible India,YES,ID 24 (mundeshwari-temple),Already in HiddenYatra as place ID 24.,EXISTING,KEEP EXISTING
Kaimur,Telhar Kund Waterfall,Telhar Kund,waterfall,High-Volume Plunge Waterfall,"Bhabhua-Adhaura Road, Kaimur hills",24.9654,83.6124,"Spectacular 80-meter vertical waterfall plunging into a deep natural pool amidst dense sal forests on the Kaimur Plateau, with newly built safety railings and viewing platforms.","Premier waterfall destination in Bihar, promoted prominently on Bihar Tourism Eco Circuit.",A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Kaimur (kaimur.nic.in),Bihar Forest Department,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kaimur,Tomb of Bakhtiyar Khan,Bakhtiyar Khan Maqbara,historical,Imperial Suri-Era Mausoleum / ASI Monument,"Malik Sarai, Chainpur, 11 km from Bhabhua",25.0354,83.5412,"Magnificent octagonal sandstone mausoleum built inside a grand walled enclosure with corner bastions and stepped tanks, reflecting classical Afghan-Suri architecture.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #30)",District Administration Kaimur,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Katihar,Gogabil Lake Bird Sanctuary,Goga Beel Community Reserve,nature,First Community Reserve & Oxbow Lake,"Amdabad block, 26 km south of Katihar",25.3412,87.6512,"Bihar's first official Community Reserve, an extensive 218-acre oxbow lake formed by the abandoned channels of Ganga and Mahananda rivers, winter home to over 90 species of migratory birds (including Eurasian wigeons and migratory ducks).",Nationally recognized biodiversity hotspot and prime avian tourism sanctuary in eastern Bihar.,A,Ministry of Environment & Forests & Bihar Forest Department,Bihar Tourism (tourism.bihar.gov.in),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Katihar,Gorakhnath Temple,Baba Gorakhnath Dham,temple,Historic Pilgrimage Temple,"Gorakhnath, 15 km from Katihar",25.5612,87.5812,Ancient temple complex dedicated to Lord Shiva and Nath sect master Gorakhnath with a sacred pond where large crowds gather during Mahashivratri.,Key religious site officially promoted by District Administration Katihar.,A,District Administration Katihar (katihar.nic.in/tourism/),Local cultural archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Katihar,Guru Tegh Bahadur Historic Gurdwara,Gurdwara Sri Guru Tegh Bahadur Ji,cultural,Sikh Circuit Heritage Gurdwara,"Laxmipur, Barari block, Katihar",25.4125,87.4812,"Historic 17th-century gurdwara sanctified by the personal visit of the Ninth Sikh Guru, Guru Tegh Bahadur, in 1670 CE; preserves historical hand-written Hukamnamas and sacred relic cot.",Important pilgrimage shrine on the official Bihar Sikh Circuit.,A,Bihar Tourism Sikh Circuit (tourism.bihar.gov.in) & District Administration Katihar,Takht Sri Patna Sahib Prabandhak Committee,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Katihar,Manihari Ganga Ghat & Baghar Beel,Manihari Sangam Ghat,cultural,Sacred Ganga Ghat & Cultural Site,"Manihari, southern Katihar",25.3385,87.6125,"Historic Ganga riverfront town where Swami Vivekananda halted, and where river ferry links Bihar to Jharkhand; mythological association with Lord Krishna losing his jewel (Mani).",Scenic riverfront tourism and religious bathing destination.,B,District Administration Katihar (katihar.nic.in),Regional heritage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Khagaria,Agnihotri Temple,Agnihotri Sthan Gaukhara,temple,Vedic Fire Sacrifice Heritage Temple,"Gaukhara village, Khagaria",25.4812,86.4215,Rare heritage temple where an unbroken sacred Vedic fire (Akhand Agnihotra) has been maintained continuously for over a century by generations of Agnihotri priests.,Unique cultural and Vedic ritual heritage site in eastern Bihar.,B,District Administration Khagaria (khagaria.nic.in),Local cultural records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Khagaria,Katyayani Asthan,"Maa Katyayani Mandir, Dhamhara Ghat",temple,Historic River Confluence Shakti Shrine,"Dhamhara Ghat / Mansi block, 12 km from Khagaria",25.5412,86.5812,"Revered ancient temple dedicated to Goddess Katyayani (sixth form of Navadurga) situated at the confluence of Kosi and Bagmati rivers, drawing millions of pilgrims from Kosi and Mithila regions.","Foremost cultural and religious destination in Khagaria district, officially documented on khagaria.nic.in.",A,District Administration Khagaria (khagaria.nic.in/tourist-place/katyayani-asthan/),Bihar Tourism Pilgrimage Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Khagaria,Kosi-Bagmati-Gandak Riverfront,Khagaria Sangam Viewpoint,nature,River Confluence Landscape,Khagaria river basin,25.5124,86.4812,"Spectacular water landscape where the energetic Kosi and Bagmati rivers meet before joining the Ganga, famous for flood ecology and sunset viewpoints.",Scenic river geography landmark.,C,District Gazetteer Khagaria,River basin research,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kishanganj,"Kanhaiya Ji Mandir, Bandarjhula",Bandarjhula Ancient Krishna Temple,historical,Ancient Temple / ASI Monument,"Bandarjhula, Dighalbank block, on Indo-Nepal border",26.3812,87.9125,Ancient Krishna temple on the Mechi riverbank where ancient black stone sculptures and Mauryan-era artifacts were excavated.,ASI Centrally Protected Monument of National Importance in Bihar.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #32)",District Administration Kishanganj,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kishanganj,Khagra Mela Ground & Nawab Palace,Khagra Historical Grounds,cultural,Heritage Fairground & Estate Palace,Kishanganj town centre,26.1045,87.9412,"Historic estate palace of the Nawabs of Khagra and site of the annual Khagra Mela, established in 1883, historically the second largest cattle and trade fair in the subcontinent.","Primary cultural identity landmark of Kishanganj, documented on kishanganj.nic.in.",A,District Administration Kishanganj (kishanganj.nic.in/culture-heritage/),State Tourism Mela Directory,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kishanganj,Kishanganj Tea Gardens,Pothia & Thakurganj Tea Estates,nature,Agritourism / Tea Plantations,"Pothia and Thakurganj blocks, Kishanganj",26.2415,88.0812,"Over 15,000 acres of lush undulating green tea plantations situated in the foothills of the Himalayas bordering West Bengal and Nepal; Bihar's only tea producing district.",Fast-growing agritourism and scenic nature destination promoted by Bihar Department of Agriculture and Tourism.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Kishanganj,Tea Board of India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Kishanganj,Mahananda Riverfront Promenade,Mahananda Ghat,nature,Riverfront Promenade,6 km from Kishanganj bus stand,26.0854,87.9215,"Picturesque riverfront with walking promenade along the fast-flowing Mahananda river, ideal for morning walks and bird watching.",Highlighted local visitor spot on kishanganj.nic.in.,A,District Administration Kishanganj (kishanganj.nic.in/tourist-place/mahananda-river/),Local municipal records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Lakhisarai,Ashok Dham Temple,Indradyumneshwar Mahadev Dham,temple,Massive Modern Temple Complex & Giant Lingam,"Chowki, Lakhisarai, 5 km from town",25.1785,86.0612,"Massive grand temple complex housing a gigantic monolithic black granite Shiva Lingam discovered during earth excavation on April 7, 1977 by boys Ashok and Gajanand; consecrated by Shankaracharya.","Foremost pilgrimage landmark of Lakhisarai, drawing millions during Shravani Mela.",A,District Administration Lakhisarai (lakhisarai.nic.in/tourist-place/ashok-dham-temple/) & Bihar Tourism,State Religious Trust Board,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Lakhisarai,Barahiya Maharani Sthan,"Maa Tripurasundari Mandir, Barahiya",temple,Shakti Temple & Cultural Mela,"Barahiya, on NH-80, Lakhisarai",25.2915,86.0125,"Celebrated regional temple of Goddess Jagdamba (Maharani Sthan) established over 500 years ago, famous for community faith and massive Chhath congregations.",Key cultural pilgrimage destination in North-East Magadh.,A,District Administration Lakhisarai,Local cultural archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Lakhisarai,Lali Pahadi Archaeological Site,Lali Pahadi Buddhist Monastery,historical,Excavated Buddhist Monastery / State Protected,"Jainagar, Lakhisarai",25.1812,86.0954,"Recently excavated 8th-century hilltop Buddhist nun's monastery (Krimila City) by Visva-Bharati and Bihar Heritage Society, yielding ornate structural cells, inscriptions, and stucco carvings.","One of seven protected archaeological sites in the district, inaugurated as an open-air archaeological park.",A,Bihar State Archaeology Directorate & District Administration (lakhisarai.nic.in),Archaeological Survey of India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Lakhisarai,Rajauna Buddhist Archaeological Mound,Ancient Krimila / Balgudar,historical,Archaeological Site & Ancient Sculptures,"Rajauna village, near Lakhisarai town",25.1912,86.0712,"Site of the ancient administrative and religious centre of Krimila Vishaya mentioned in Pala inscriptions and accounts of Chinese pilgrim Xuanzang, with Ashokan pillars and mounds.",Protected archaeological site of national historical significance.,B,District Administration Lakhisarai,ASI Archaeological Reports,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Lakhisarai,Shringirishi Dham,Shringi Rishi Cave & Spring,nature,"Waterfall Spring, Cave & Ramayana Heritage","Kajra hills, Chanan block, 20 km from Lakhisarai",25.0912,86.2154,"Picturesque natural perennial water spring, deep forested gorge, and ancient cave associated with Sage Rishyashringa (who officiated King Dasharatha's Putrakameshti Yajna in Ramayana).",Major eco-tourism and pilgrimage spot featured on lakhisarai.nic.in.,A,District Administration Lakhisarai (lakhisarai.nic.in) & Bihar Tourism Ramayana Circuit,Forest Department Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhepura,Baba Vishu Raut Temple,Pachrasi Dham,cultural,Folk Deity Shrine & 52-Bigha Mela,"Pachrasi village, Puraini block, Madhepura",25.8415,86.9812,"Revered folk shrine of pastoral hero Baba Vishu Raut, who protected cattle herds; site of a unique annual festival where thousands of quintals of fresh milk are offered by local dairy farmers.","Unique living folk cultural heritage and pastoral festival in Bihar, officially recognized on madhepura.nic.in.",A,District Administration Madhepura (madhepura.nic.in/tourist-place/baba-vish-raut-temple/),Department of Art & Culture Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
