priority,rank,district,place_name,category,why_it_deserves_priority,evidence_strength,uniqueness,district_coverage_impact,primary_source_name,primary_source_url
P1,88,Kishanganj,"Kanhaiya Ji Mandir, Bandarjhula",historical,ASI Centrally Protected Monument of National Importance in Bihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,89,Kishanganj,Khagra Mela Ground & Nawab Palace,cultural,"Primary cultural identity landmark of Kishanganj, documented on kishanganj.nic.in.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Kishanganj (NIC Portal),https://kishanganj.nic.in/tourist-places/
P1,90,Kishanganj,Mahananda Riverfront Promenade,nature,Highlighted local visitor spot on kishanganj.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Kishanganj (NIC Portal),https://kishanganj.nic.in/tourist-places/
P1,91,Lakhisarai,Barahiya Maharani Sthan,temple,Key cultural pilgrimage destination in North-East Magadh.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Lakhisarai (NIC Portal),https://lakhisarai.nic.in/tourist-places/
P1,92,Lakhisarai,Lali Pahadi Archaeological Site,historical,"One of seven protected archaeological sites in the district, inaugurated as an open-air archaeological park.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Lakhisarai (NIC Portal),https://lakhisarai.nic.in/tourist-places/
P1,93,Lakhisarai,Shringirishi Dham,nature,Major eco-tourism and pilgrimage spot featured on lakhisarai.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,94,Madhepura,Baba Vishu Raut Temple,cultural,"Unique living folk cultural heritage and pastoral festival in Bihar, officially recognized on madhepura.nic.in.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Madhepura (NIC Portal),https://madhepura.nic.in/tourist-places/
P1,95,Madhubani,Bhawanipur Ugna Shiva Mandir,temple,Celebrated Mithila cultural and poetic heritage site.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-places/
P1,96,Madhubani,Kapileshwar Sthan,temple,Prime religious shrine in Madhubani district.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-places/
P1,97,Madhubani,Raja Bali Ka Garh,historical,ASI Centrally Protected Monument of National Importance in Bihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,98,Madhubani,Ranti Art Village,cultural,Globally recognized women-led traditional craft cluster.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,99,Madhubani,Uchaith Bhagwati Mandir,temple,Prominent cultural and literary pilgrimage site in North Bihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-places/
P1,100,Munger,Bihar School of Yoga / Ganga Darshan,cultural,Global spiritual and wellness tourism landmark on the banks of Ganga.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,101,Munger,Chandika Sthan,temple,Major pilgrimage destination in eastern Bihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Munger (NIC Portal),https://munger.nic.in/tourist-places/
P1,102,Munger,Kashtaharani Ghat,cultural,Famous spiritual and evening gathering promenade with panoramic river views.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,103,Munger,Kharagpur Lake & Haveli Kharagpur,lake,Top picnic and eco-tourism spot in Munger district.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Munger (NIC Portal),https://munger.nic.in/tourist-places/
P1,104,Munger,Rishi Kund,nature,Scenic eco-tourism and pilgrimage site featured on munger.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Munger (NIC Portal),https://munger.nic.in/tourist-places/
P1,105,Muzaffarpur,Baba Garibnath Temple,temple,"Foremost religious destination in Muzaffarpur, officially documented on muzaffarpur.nic.in.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Muzaffarpur (NIC Portal),https://muzaffarpur.nic.in/tourist-places/
P1,106,Muzaffarpur,Katra Garh & Chamunda Mandir,historical,Bihar State Protected Monument and vital archaeological site.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/
P1,107,Muzaffarpur,Ramchandra Shahi Museum,museum,"Official state museum in Tirhut division managed by Directorate of Museums, Government of Bihar.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Muzaffarpur (NIC Portal),https://muzaffarpur.nic.in/tourist-places/
P1,108,Muzaffarpur,Sujani Embroidery Craft Cluster,cultural,Important cultural craft tourism center recognized by UNESCO and Ministry of Textiles.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,Geographical Indications Registry of India,https://ipindia.gov.in/
P1,109,Nalanda,Brahma Kund & Hot Springs,nature,Famous wellness and pilgrimage destination since antiquity.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,110,Nalanda,Cyclopean Wall of Rajgir,historical,"One of the oldest stone structural fortifications in the world, ASI Centrally Protected Monument.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,111,Nalanda,Ghora Katora Lake Eco-Reserve,nature,Bihar's premier eco-tourism nature park with paddle boating and cycling trails.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,112,Nalanda,Griddhakuta (Vulture's Peak),historical,Most revered Buddhist pilgrimage hill in the world.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,113,Nalanda,Rajgir Glass Bridge & Nature Safari,adventure,Modern flagship adventure tourism destination in Bihar inaugurated in 2021.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,114,Nalanda,Saptaparni Cave,historical,Foundational historic site for Buddhist literature and canonical Vinaya/Sutta Pitaka.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,115,Nalanda,Venuvana Vihara,historical,World's first Buddhist monastery garden officially maintained by Bihar Tourism.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,116,Nalanda,Xuanzang (Hiuen Tsang) Memorial Hall,cultural,"Symbol of Sino-Indian civilizational dialogue housing relics, murals, and statue.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Ministry of Culture, Government of India",https://indiaculture.gov.in/
P1,117,Nawada,Gunawa Ji Tirth,temple,Prominent stop on the official Bihar Jain Circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,118,Nawada,"Indrasal Cave, Parvati Hill",historical,Archaeological Buddhist site of national historical significance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Nawada (NIC Portal),https://nawada.nic.in/tourist-places/
P1,119,Nawada,"Sarvodaya Ashram, Shekhodeora",cultural,Major national political and socio-cultural pilgrimage site documented on nawada.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Nawada (NIC Portal),https://nawada.nic.in/tourist-places/
P1,120,Nawada,"Surya Mandir, Handiya",temple,Major Chhath Puja pilgrimage destination officially featured on nawada.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Nawada (NIC Portal),https://nawada.nic.in/tourist-places/
P1,121,Patna,Chhoti Patan Devi,temple,Bihar State Protected Monument and core Shaktipeeth pilgrimage destination.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Patna (NIC Portal),https://patna.nic.in/tourist-places/
P1,122,Patna,Jalan Museum (Qila House),museum,Exclusive world-class decorative art collection recognized by global historians.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,123,Patna,Kamaldah Jain Temple,temple,State Protected Monument on the official Jain Circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/
P1,124,Patna,Khuda Bakhsh Oriental Public Library,cultural,One of the richest libraries of Islamic and medieval manuscripts in the world.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Ministry of Culture, Government of India",https://indiaculture.gov.in/
P1,125,Patna,NIT Ghat & Ganga Aarti,cultural,Signature evening cultural tourism attraction in Patna city.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Patna,https://patna.nic.in/tourist-places/
P1,126,Purnia,Kajha Kothi Eco Park,nature,Leading eco-tourism and recreation attraction in Purnia district.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Purnia (NIC Portal),https://purnea.nic.in/tourist-places/
P1,127,Purnia,Mata Puran Devi Temple,temple,"Core religious and identity landmark of Purnia, featured on purnea.nic.in.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Purnia (NIC Portal),https://purnea.nic.in/tourist-places/
P1,128,Rohtas,"Ashokan Inscription, Chandan Shahid Hill",historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,129,Rohtas,Dhuan Kund & Manjhar Kund Waterfalls,waterfall,Highly popular nature tourism destination featured on rohtas.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/
P1,130,Rohtas,Gupta Dham (Gupteshwar Mahadev Cave),nature,Historic pilgrimage and spelunking destination officially documented on rohtas.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/
P1,131,Rohtas,Maa Tara Chandi Temple & Inscription,temple,ASI Centrally Protected Monument and premier pilgrimage destination of Rohtas.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,132,Rohtas,Tomb of Hasan Khan Suri,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,133,Saharsa,"Mandan Bharti Dham, Mahishi",cultural,Celebrated intellectual heritage center in Indian philosophical traditions.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Saharsa (NIC Portal),https://saharsa.nic.in/tourist-places/
P1,134,Saharsa,Matsyagandha Lake & Raktakali Temple,lake,Key urban recreation and cultural tourism center in Saharsa town.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Saharsa (NIC Portal),https://saharsa.nic.in/tourist-places/
P1,135,Saharsa,Sant Karu Khirhari Temple,cultural,Prominent folk heritage tourism destination featured on saharsa.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,136,Saharsa,"Surya Mandir, Kandaha",historical,Bihar State Protected Monument and unique architectural gem of Mithila.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Saharsa (NIC Portal),https://saharsa.nic.in/tourist-places/
P1,137,Samastipur,Dr. Rajendra Prasad Central Agricultural University,historical,National heritage institution of agricultural science and architectural grandeur.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Samastipur (NIC Portal),https://samastipur.nic.in/tourist-places/
P1,138,Samastipur,Thaneshwar Mahadev Mandir,temple,Primary urban pilgrimage destination on samastipur.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Samastipur (NIC Portal),https://samastipur.nic.in/tourist-places/
P1,139,Saran,"Ambika Sthan, Aami",temple,Major Shakti pilgrimage destination officially featured on saran.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Saran (NIC Portal),https://saran.nic.in/tourist-places/
P1,140,Saran,"Gautam Asthan, Revelganj",cultural,Official Ramayana Circuit destination in western Bihar.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,141,Saran,Manjhi Fort Ruins & Ancient City,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,142,Saran,Silhauri Shiva Temple,temple,Featured place of religious interest on saran.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Saran (NIC Portal),https://saran.nic.in/tourist-places/
P1,143,Sheikhpura,Arghauti Pokhar,lake,Documented place of civic and cultural heritage on sheikhpura.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Sheikhpura (NIC Portal),https://sheikhpura.nic.in/tourist-places/
P1,144,Sheikhpura,Girihinda Pahar & Shiv Temple,mountain,Most popular scenic and spiritual destination on sheikhpura.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Sheikhpura (NIC Portal),https://sheikhpura.nic.in/tourist-places/
P1,145,Sitamarhi,Haleshwar Sthan,temple,Important Ramayana Circuit shrine officially documented on sitamarhi.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,District Administration Sitamarhi (NIC Portal),https://sitamarhi.nic.in/tourist-places/
P1,146,Sitamarhi,Panth Pakar,cultural,Sacred living heritage monument on the Ramayana Circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,Medium — Expands regional diversity,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,147,Siwan,"Baba Mahendra Nath Temple, Mehdar",temple,"Foremost religious pilgrimage site in Siwan district, officially featured on siwan.nic.in.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Siwan (NIC Portal),https://siwan.nic.in/tourist-places/
P1,148,Siwan,Sohagara Dham,temple,Prominent border pilgrimage center officially documented on siwan.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Siwan (NIC Portal),https://siwan.nic.in/tourist-places/
P1,149,Supaul,"Kapileshwar Mandir, Supaul",temple,Prominent religious destination officially highlighted on supaul.nic.in.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Unlocks completely unrepresented district (0 places currently),District Administration Supaul (NIC Portal),https://supaul.nic.in/tourist-places/
P1,150,Vaishali,Baraila Lake / Salim Ali Jubba Sahni Sanctuary,nature,Important avian eco-tourism and birdwatching reserve in Tirhut.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/
P1,151,Vaishali,"Kundpur, Vaishali",cultural,Foremost pilgrimage site on the global Jain Circuit.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,152,Vaishali,"Nepali Temple, Hajipur",temple,"Bihar State Protected Monument, architectural marvel on the Gandak riverbank.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration Vaishali (NIC Portal),https://vaishali.nic.in/tourist-places/
P1,153,Vaishali,Raja Vishal Ka Garh,historical,"Birthplace of democratic governance, ASI Centrally Protected Monument.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,154,West Champaran,Chankigarh Fort,historical,ASI Centrally Protected Monument of National Importance.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,155,West Champaran,Rampurva Ashokan Pillars,historical,ASI Centrally Protected Monument of worldwide sculptural fame.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/
P1,156,West Champaran,Someshwar Fort & Hills,mountain,"Top trekking, mountain viewpoint, and adventure destination in Bihar.",Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-places/
P1,157,West Champaran,Triveni Sangam & Valmiki Ashram,cultural,Supreme cultural and scenic pilgrimage destination on the Indo-Nepal border.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P1,158,West Champaran,Udaipur Wildlife Sanctuary,nature,Important wetland and wildlife tourism sanctuary.,Strong — District Administration Portal & State Directorate of Archaeology,Prominent regional heritage,High — Fills major critical gap in high-tourism district,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/
P2,159,Araria,Madanpur Shiva Mandir,temple,Most visited religious gathering site in eastern Araria.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/
P2,160,Arwal,"Madanpur Sun Temple, Arwal",temple,Prominent religious destination mentioned in district heritage lists.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-places/
P2,161,Bhojpur,Bhaluni Dham,temple,Prominent rural pilgrimage site in southern Bhojpur.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,Medium — Expands regional diversity,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/
P2,162,Darbhanga,Nargona Palace,historical,Unique twentieth-century engineering and royal architectural landmark.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Fills major critical gap in high-tourism district,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/
P2,163,Gopalganj,Husepur Fort Ruins,historical,Prominent regional history and revolt landmark.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/
P2,164,Gopalganj,"Shri Pitambara Peeth, Baglamukhi Mandir",temple,Documented place of worship on official portal.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/
P2,165,Katihar,Manihari Ganga Ghat & Baghar Beel,cultural,Scenic riverfront tourism and religious bathing destination.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Katihar (NIC Portal),https://katihar.nic.in/tourism/
P2,166,Khagaria,Agnihotri Temple,temple,Unique cultural and Vedic ritual heritage site in eastern Bihar.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Khagaria (NIC Portal),https://khagaria.nic.in/tourist-places/
P2,167,Lakhisarai,Rajauna Buddhist Archaeological Mound,historical,Protected archaeological site of national historical significance.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Lakhisarai (NIC Portal),https://lakhisarai.nic.in/tourist-places/
P2,168,Madhepura,Dakini Sthan,temple,Highlighted place of interest on district government portal.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Madhepura (NIC Portal),https://madhepura.nic.in/tourist-places/
P2,169,Purnia,Dharahara Narasimha Pillar,historical,Prominent cultural and pilgrimage landmark of regional mythology.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Purnia (NIC Portal),https://purnea.nic.in/tourist-places/
P2,170,Samastipur,Mangalgarh Archaeological Mound,historical,Significant historical site of Central Mithila.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Samastipur (NIC Portal),https://samastipur.nic.in/tourist-places/
P2,171,Sheohar,Sheohar Raj Palace,historical,Primary historical landmark of Sheohar town.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Sheohar (NIC Portal),https://sheohar.nic.in/tourist-places/
P2,172,Sitamarhi,Bagahi Dham,cultural,Prominent cultural retreat in eastern Sitamarhi.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,Medium — Expands regional diversity,District Administration Sitamarhi (NIC Portal),https://sitamarhi.nic.in/tourist-places/
P2,173,Siwan,Amar Shahid Umakant Smarak,historical,Nationalist freedom movement pilgrimage site.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Siwan (NIC Portal),https://siwan.nic.in/tourist-places/
P2,174,Supaul,Tileshwar Mandir,temple,Documented place of tourist interest on supaul.nic.in.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Unlocks completely unrepresented district (0 places currently),District Administration Supaul (NIC Portal),https://supaul.nic.in/tourist-places/
P2,175,West Champaran,Bettiah Raj Palace Complex,historical,Significant architectural and cultural landmark of Champaran.,Good — Credible secondary archives & gazetteer documentation,Valuable local cultural destination,High — Fills major critical gap in high-tourism district,District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-places/
