rank,district,place_name,category,coordinates,verification_level,primary_source,secondary_source,existing_duplicate,tourism_value,discovery_value,data_completeness,overlap_risk,recommended_priority,reason
87,Saharsa,Sant Karu Khirhari Temple,cultural,"25.9125, 86.3812",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Prominent folk heritage tourism destination featured on saharsa.nic.in.
88,Saran,"Gautam Asthan, Revelganj",cultural,"25.7812, 84.6712",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Official Ramayana Circuit destination in western Bihar.
89,Sitamarhi,Panth Pakar,cultural,"26.6512, 85.5412",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Sacred living heritage monument on the Ramayana Circuit.
90,West Champaran,Triveni Sangam & Valmiki Ashram,cultural,"27.4215, 83.9124",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Incredible India (Ministry of Tourism),NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Supreme cultural and scenic pilgrimage destination on the Indo-Nepal border.
91,Banka,Papaharini Tank,lake,"24.9458, 86.7265",CROSS-VERIFIED MUNICIPAL,District Administration Banka (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,MEDIUM,P1,High-value regional destination: Integral component of the Mandar Hill tourism complex officially highlighted on banka.nic.in.
92,Gaya,Sujata Stupa & Kuti,historical,"24.6925, 85.0028",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Gazetteer of Bihar & Regional Cultural Archives,NONE,MEDIUM,MODEST,HIGH,MEDIUM,P1,High-value regional destination: ASI Centrally Protected Monument on the international Buddhist circuit.
93,Madhepura,Baba Vishu Raut Temple,cultural,"25.8415, 86.9812",CROSS-VERIFIED MUNICIPAL,District Administration Madhepura (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,"High-value regional destination: Unique living folk cultural heritage and pastoral festival in Bihar, officially recognized on madhepura.nic.in."
94,Nawada,"Sarvodaya Ashram, Shekhodeora",cultural,"24.8125, 85.8412",CROSS-VERIFIED MUNICIPAL,District Administration Nawada (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Major national political and socio-cultural pilgrimage site documented on nawada.nic.in.
95,Saharsa,"Mandan Bharti Dham, Mahishi",cultural,"25.8854, 86.4452",CROSS-VERIFIED MUNICIPAL,District Administration Saharsa (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Celebrated intellectual heritage center in Indian philosophical traditions.
96,Sitamarhi,Bagahi Dham,cultural,"26.6412, 85.7125",CROSS-VERIFIED MUNICIPAL,District Administration Sitamarhi (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Prominent cultural retreat in eastern Sitamarhi.
97,East Champaran,George Orwell Birthplace & Memorial,historical,"26.6452, 84.9085",CROSS-VERIFIED MUNICIPAL,District Administration East Champaran (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Internationally recognized literary tourism destination drawing global travelers and literature enthusiasts.
98,Gopalganj,Dighwa Dubauli Archaeological Mounds,historical,"26.2815, 84.7215",CROSS-VERIFIED MUNICIPAL,District Administration Gopalganj (NIC Portal),Archaeological Survey of India,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Official historical tourist attraction on gopalganj.nic.in.
99,Lakhisarai,Lali Pahadi Archaeological Site,historical,"25.1812, 86.0954",CROSS-VERIFIED MUNICIPAL,District Administration Lakhisarai (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,"High-value regional destination: One of seven protected archaeological sites in the district, inaugurated as an open-air archaeological park."
100,Lakhisarai,Rajauna Buddhist Archaeological Mound,historical,"25.1912, 86.0712",CROSS-VERIFIED MUNICIPAL,District Administration Lakhisarai (NIC Portal),Archaeological Survey of India,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Protected archaeological site of national historical significance.
101,Purnia,Dharahara Narasimha Pillar,historical,"25.8912, 87.1812",CROSS-VERIFIED MUNICIPAL,District Administration Purnia (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Prominent cultural and pilgrimage landmark of regional mythology.
102,Saharsa,"Surya Mandir, Kandaha",historical,"25.8512, 86.4125",CROSS-VERIFIED MUNICIPAL,District Administration Saharsa (NIC Portal),Archaeological Survey of India,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Bihar State Protected Monument and unique architectural gem of Mithila.
103,Samastipur,Dr. Rajendra Prasad Central Agricultural University,historical,"25.9812, 85.6712",CROSS-VERIFIED MUNICIPAL,District Administration Samastipur (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: National heritage institution of agricultural science and architectural grandeur.
104,Samastipur,Mangalgarh Archaeological Mound,historical,"25.7512, 86.0412",CROSS-VERIFIED MUNICIPAL,District Administration Samastipur (NIC Portal),"Directorate of Archaeology & Museums, Bihar",NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Significant historical site of Central Mithila.
105,Siwan,Amar Shahid Umakant Smarak,historical,"26.1512, 84.3412",CROSS-VERIFIED MUNICIPAL,District Administration Siwan (NIC Portal),Sahitya Akademi & National Archives of India,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Nationalist freedom movement pilgrimage site.
106,Nalanda,Rajgir Glass Bridge & Nature Safari,adventure,"24.9815, 85.3912",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Nalanda,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Modern flagship adventure tourism destination in Bihar inaugurated in 2021.
107,Nawada,"Surya Mandir, Handiya",temple,"24.9512, 85.4312",CROSS-VERIFIED MUNICIPAL,District Administration Nawada (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Major Chhath Puja pilgrimage destination officially featured on nawada.nic.in.
108,Patna,Jalan Museum (Qila House),museum,"25.6025, 85.1912",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Patna,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Exclusive world-class decorative art collection recognized by global historians.
109,Buxar,Ahirauli Ahilya Sthan,temple,"25.5895, 83.9512",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Buxar,NONE,MODEST,MODEST,HIGH,NONE,P1,High-value regional destination: Core Ramayana Circuit destination in Bihar.
110,Darbhanga,Chandradhari Museum,museum,"26.1585, 85.9012",CROSS-VERIFIED MUNICIPAL,District Administration Darbhanga (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P1,"High-value regional destination: Leading museum of North Bihar officially managed by Directorate of Museums, Government of Bihar."
111,Darbhanga,"Ahilya Sthan, Ahiyari",temple,"26.2215, 85.7485",CROSS-VERIFIED MUNICIPAL,District Administration Darbhanga (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Official Ramayana Circuit destination in Mithila.
112,Rohtas,Maa Tara Chandi Temple & Inscription,temple,"24.9215, 84.0612",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Rohtas,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: ASI Centrally Protected Monument and premier pilgrimage destination of Rohtas.
113,Nawada,Gunawa Ji Tirth,temple,"24.8912, 85.5412",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Prominent stop on the official Bihar Jain Circuit.
114,Araria,Madanpur Shiva Mandir,temple,"26.1754, 87.5123",CROSS-VERIFIED MUNICIPAL,District Administration Araria (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Most visited religious gathering site in eastern Araria.
115,Bhagalpur,Bhagalpuri Silk Weaver Cluster,cultural,"25.2285, 86.9312",FIELD DOCUMENTED,Geographical Indications Registry of India,Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Official Geographical Indication (GI) craft hub and textile heritage tourism center.
116,Buxar,"Bihari Ji Temple, Dumraon",temple,"25.5512, 84.1485",CROSS-VERIFIED MUNICIPAL,District Administration Buxar (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Unique cultural and music heritage site connecting classical music to temple tradition.
117,Darbhanga,Shyama Mai Temple,temple,"26.1458, 85.8985",CROSS-VERIFIED MUNICIPAL,District Administration Darbhanga (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,"Useful secondary destination for intra-district exploration: Foremost religious destination in Darbhanga town, officially featured on darbhanga.nic.in."
118,Gopalganj,"Shri Pitambara Peeth, Baglamukhi Mandir",temple,"26.4712, 84.4385",CROSS-VERIFIED MUNICIPAL,District Administration Gopalganj (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Documented place of worship on official portal.
119,Katihar,Gorakhnath Temple,temple,"25.5612, 87.5812",CROSS-VERIFIED MUNICIPAL,District Administration Katihar (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Key religious site officially promoted by District Administration Katihar.
120,Khagaria,Agnihotri Temple,temple,"25.4812, 86.4215",CROSS-VERIFIED MUNICIPAL,District Administration Khagaria (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Unique cultural and Vedic ritual heritage site in eastern Bihar.
121,Lakhisarai,Barahiya Maharani Sthan,temple,"25.2915, 86.0125",CROSS-VERIFIED MUNICIPAL,District Administration Lakhisarai (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Key cultural pilgrimage destination in North-East Magadh.
122,Madhepura,Dakini Sthan,temple,"25.6812, 86.9124",CROSS-VERIFIED MUNICIPAL,District Administration Madhepura (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Highlighted place of interest on district government portal.
123,Madhubani,Kapileshwar Sthan,temple,"26.4312, 86.0485",CROSS-VERIFIED MUNICIPAL,District Administration Madhubani (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Prime religious shrine in Madhubani district.
124,Madhubani,Uchaith Bhagwati Mandir,temple,"26.4812, 85.9124",CROSS-VERIFIED MUNICIPAL,District Administration Madhubani (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Prominent cultural and literary pilgrimage site in North Bihar.
125,Madhubani,Bhawanipur Ugna Shiva Mandir,temple,"26.3125, 86.1512",CROSS-VERIFIED MUNICIPAL,District Administration Madhubani (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Celebrated Mithila cultural and poetic heritage site.
126,Munger,Chandika Sthan,temple,"25.3785, 86.4854",CROSS-VERIFIED MUNICIPAL,District Administration Munger (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Major pilgrimage destination in eastern Bihar.
127,Muzaffarpur,Baba Garibnath Temple,temple,"26.1185, 85.3854",CROSS-VERIFIED MUNICIPAL,District Administration Muzaffarpur (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,"Useful secondary destination for intra-district exploration: Foremost religious destination in Muzaffarpur, officially documented on muzaffarpur.nic.in."
128,Muzaffarpur,Sujani Embroidery Craft Cluster,cultural,"26.1512, 85.5124",FIELD DOCUMENTED,Geographical Indications Registry of India,Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Important cultural craft tourism center recognized by UNESCO and Ministry of Textiles.
129,Nalanda,Xuanzang (Hiuen Tsang) Memorial Hall,cultural,"25.1385, 85.4485",FIELD DOCUMENTED,"Ministry of Culture, Government of India",Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,"Useful secondary destination for intra-district exploration: Symbol of Sino-Indian civilizational dialogue housing relics, murals, and statue."
130,Patna,Khuda Bakhsh Oriental Public Library,cultural,"25.6185, 85.1585",FIELD DOCUMENTED,"Ministry of Culture, Government of India",Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: One of the richest libraries of Islamic and medieval manuscripts in the world.
131,Patna,Chhoti Patan Devi,temple,"25.6015, 85.1954",CROSS-VERIFIED MUNICIPAL,District Administration Patna (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Bihar State Protected Monument and core Shaktipeeth pilgrimage destination.
132,Purnia,Mata Puran Devi Temple,temple,"25.7785, 87.4712",CROSS-VERIFIED MUNICIPAL,District Administration Purnia (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,"Useful secondary destination for intra-district exploration: Core religious and identity landmark of Purnia, featured on purnea.nic.in."
133,Samastipur,Thaneshwar Mahadev Mandir,temple,"25.8542, 85.7812",CROSS-VERIFIED MUNICIPAL,District Administration Samastipur (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Primary urban pilgrimage destination on samastipur.nic.in.
134,Saran,"Ambika Sthan, Aami",temple,"25.7215, 84.9512",CROSS-VERIFIED MUNICIPAL,District Administration Saran (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Major Shakti pilgrimage destination officially featured on saran.nic.in.
135,Saran,Silhauri Shiva Temple,temple,"25.8812, 84.8124",CROSS-VERIFIED MUNICIPAL,District Administration Saran (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Featured place of religious interest on saran.nic.in.
136,Siwan,"Baba Mahendra Nath Temple, Mehdar",temple,"26.0412, 84.4512",CROSS-VERIFIED MUNICIPAL,District Administration Siwan (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,"Useful secondary destination for intra-district exploration: Foremost religious pilgrimage site in Siwan district, officially featured on siwan.nic.in."
137,Siwan,Sohagara Dham,temple,"26.1912, 84.0954",CROSS-VERIFIED MUNICIPAL,District Administration Siwan (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Prominent border pilgrimage center officially documented on siwan.nic.in.
138,Supaul,"Kapileshwar Mandir, Supaul",temple,"26.1812, 86.5812",CROSS-VERIFIED MUNICIPAL,District Administration Supaul (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Prominent religious destination officially highlighted on supaul.nic.in.
139,Supaul,Tileshwar Mandir,temple,"26.1215, 86.6124",CROSS-VERIFIED MUNICIPAL,District Administration Supaul (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Documented place of tourist interest on supaul.nic.in.
140,Vaishali,"Nepali Temple, Hajipur",temple,"25.6812, 85.2125",CROSS-VERIFIED MUNICIPAL,District Administration Vaishali (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,"Useful secondary destination for intra-district exploration: Bihar State Protected Monument, architectural marvel on the Gandak riverbank."
141,Bhojpur,Ara House,historical,"25.5645, 84.6712",FIELD DOCUMENTED,"Directorate of Archaeology, Bihar",Archaeological Survey of India,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Bihar State Protected Monument with rich archival relevance for 1857 history.
142,Buxar,Bausagarh Mound,historical,"25.5412, 84.0512",FIELD DOCUMENTED,"Directorate of Archaeology, Bihar",Gazetteer of Bihar & Regional Cultural Archives,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Bihar State Protected Monument.
143,Muzaffarpur,Katra Garh & Chamunda Mandir,historical,"26.2154, 85.6124",FIELD DOCUMENTED,"Directorate of Archaeology, Bihar",District Administration Muzaffarpur,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: Bihar State Protected Monument and vital archaeological site.
144,Patna,Kamaldah Jain Temple,temple,"25.5985, 85.1845",FIELD DOCUMENTED,"Directorate of Archaeology, Bihar",Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,NONE,P2,Useful secondary destination for intra-district exploration: State Protected Monument on the official Jain Circuit.
145,Vaishali,"Vishwa Shanti Stupa, Vaishali",cultural,"25.9885, 85.1285",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Vaishali,NONE,VERY HIGH,HIGH,HIGH,MEDIUM,HOLD,Vaishali Shanti Stupa is physically adjacent to Abhishek Pushkarani and Place ID 10; held pending Vaishali sub-complex definition.
146,Jehanabad,Nagarjuni Caves,historical,"25.0125, 85.0785",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Jehanabad,NONE,MEDIUM,MODEST,HIGH,MEDIUM,HOLD,"Authentic ASI Centrally Protected Mauryan cave complex, but situated 1.6 km from Place ID 5. Held pending sub-circuit pin grouping approval."
147,Jehanabad,Barabar Caves Complex,historical,"25.0061, 85.0621",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Bihar Tourism Board,NONE,MEDIUM,MODEST,HIGH,HIGH,HOLD,Co-located within 250m of active DB destination (#5: Barabar Caves & Siddheshwar Nath); requires sub-circuit grouping.
148,Darbhanga,Nargona Palace,historical,"26.1512, 85.8895",CROSS-VERIFIED MUNICIPAL,District Administration Darbhanga (NIC Portal),"Directorate of Archaeology & Museums, Bihar",NONE,MEDIUM,MODEST,HIGH,HIGH,HOLD,Co-located within 250m of active DB destination (#26: Darbhanga Raj (Laxmi Vilas Palace)); requires sub-circuit grouping.
149,Nalanda,Venuvana Vihara,historical,"25.0285, 85.4185",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Nalanda,NONE,MODEST,MODEST,HIGH,HIGH,HOLD,Co-located within 250m of active DB destination (#9: Rajgir (Rajagriha)); requires sub-circuit grouping.
150,Gaya,Mahabodhi Temple Complex & Bodhi Tree,historical,"24.6959, 84.9914",CROSS-VERIFIED MUNICIPAL,District Administration Gaya,Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,HIGH,HOLD,Co-located within 250m of active DB destination (#110: Bodh Gaya Archaeological Museum); requires sub-circuit grouping.
151,Muzaffarpur,Ramchandra Shahi Museum,museum,"26.1215, 85.3654",CROSS-VERIFIED MUNICIPAL,District Administration Muzaffarpur (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,HIGH,HOLD,Co-located within 250m of active DB destination (#27: Litchi Gardens & Jubba Sahni Park); requires sub-circuit grouping.
152,Jehanabad,Baba Siddheshwarnath Temple,temple,"25.0085, 85.0635",CROSS-VERIFIED MUNICIPAL,District Administration Jehanabad (NIC Portal),Bihar Tourism Board,NONE,MODEST,MODEST,HIGH,HIGH,HOLD,Co-located within 250m of active DB destination (#5: Barabar Caves & Siddheshwar Nath); requires sub-circuit grouping.
153,Munger,Bhimbandh Hot Springs & Wildlife Sanctuary,nature,"24.9667, 86.4833",GOVERNMENT / STATUTORY,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Incredible India (Ministry of Tourism),21,MEDIUM,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
154,Gaya,Dungeshwari Cave Temples,mountain,"24.7850, 85.0650",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,104,MEDIUM,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
155,Patna,"Choti Dargah, Maner",historical,"25.6480, 84.8850",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Bihar Tourism Board,95,MEDIUM,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
156,Darbhanga,Darbhanga Raj Palace Complex,historical,"26.1494, 85.8919",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)","Directorate of Archaeology & Museums, Bihar",26,MEDIUM,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
157,Jamui,Lachhuar Jain Temple & Kundagram,temple,"24.9145, 86.0144",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Gazetteer of Bihar & Regional Cultural Archives,63,MODEST,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
158,West Champaran,Valmiki National Park & Tiger Reserve,nature,"27.3167, 84.0667",FIELD DOCUMENTED,"Department of Environment, Forest & Climate Change, Bihar",Bihar Tourism Board,17,MODEST,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
159,Nalanda,Rajgir,historical,"25.0261, 85.4176",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",Archaeological Survey of India,9,MODEST,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
160,Kaimur,Maa Mundeshwari Temple,temple,"25.0612, 83.7632",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Incredible India (Ministry of Tourism),24,MODEST,MODEST,HIGH,HIGH,REJECT,Duplicate or alias of existing active destination: EXACT MATCH.
161,Araria,Forbesganj Railway Station Bazar,commercial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Search,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Commercial market / transit hub, not a tourism heritage site"
162,Araria,Hotel Diya International Araria,commercial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps / Directory,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Commercial hotel/lodging business, not a tourist destination"
163,Arwal,Arwal Bus Stand Commercial Complex,transit,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Transit and retail facility, non-tourism"
164,Begusarai,Barauni IOCL Refinery Township,industrial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Search,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,Rejected in Phase 1 discovery audit: Petrochemical industrial complex and staff residential colony
165,Bhagalpur,Zero Mile Commercial Chauraha,commercial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Urban traffic intersection and commercial market, non-tourism"
166,Bhojpur,Ara Sadar Hospital,medical,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Public medical healthcare facility, non-tourism"
167,Buxar,Buxar Central Jail,restricted,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,Rejected in Phase 1 discovery audit: High-security correctional institution with restricted entry
168,East Champaran,Motihari Sugar Mill,industrial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Search,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Closed agro-industrial factory complex, non-tourism"
169,Gaya,Gaya Collectorate Administrative Office,administrative,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,Rejected in Phase 1 discovery audit: Government administrative building with restricted public access
170,Gaya,Hotel Bodhgaya Gautam,commercial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Search,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Commercial hotel/resort for travelers, not an attraction in itself"
171,Jamui,Jhajha Railway Goods Yard,transit,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Freight handling yard, non-tourism"
172,Katihar,Katihar Railway Junction Yard,transit,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,Rejected in Phase 1 discovery audit: Major railway junction platform and marshalling yard
173,Muzaffarpur,Hotel Raj Darbar Muzaffarpur,commercial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,Rejected in Phase 1 discovery audit: Commercial lodging establishment
174,Muzaffarpur,Muzaffarpur Junction Railway Waiting Hall,transit,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Transit infrastructure, not a tourism sight"
175,Patna,Hotel Maurya Patna,commercial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Commercial luxury hotel/hospitality business, not a public tourism destination"
176,Patna,Kankarbagh Colony Park,park,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Maps,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,Rejected in Phase 1 discovery audit: Local residential neighborhood park with no tourist or heritage relevance
177,Patna,P&M Mall Patna,commercial,UNVERIFIED,REJECTED IN PHASE 1 AUDIT,Google Search,Rejection Log,NONE,LOW,LOW,LOW,NONE,REJECT,"Rejected in Phase 1 discovery audit: Modern commercial shopping mall, non-heritage retail venue"
