id,district,place_name,alternate_name,category,subcategory,latitude,longitude,verification_status,confidence,primary_source_name,primary_source_url,secondary_source_name,secondary_source_url,google_discovery,existing_place_id,duplicate_status,district_status,tourism_relevance,coordinate_status,evidence_notes,recommended_action
40,Buxar,"Bihari Ji Temple, Dumraon",Shri Bihariji Mandir,temple,Heritage Krishna Temple / Music Heritage,25.5512,84.1485,APPROVED-CANDIDATE,HIGH,District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.5512, 84.1485) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Unique cultural and music heritage site connecting classical music to temple tradition.,EXACT - PINPOINT VERIFIED,Verified by District Administration Buxar (NIC Portal). Destination features legitimate visitor heritage: Unique cultural and music heritage site connecting classical music to temple tradition..,APPROVE FOR INGESTION
41,Buxar,Bausagarh Mound,Nasratpur Ancient Fortified Mound,historical,Archaeological Site / State Protected,25.5412,84.0512,APPROVED-CANDIDATE,HIGH,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.5412, 84.0512) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Bihar State Protected Monument.,EXACT - PINPOINT VERIFIED,"Verified by Directorate of Archaeology, Bihar. Destination features legitimate visitor heritage: Bihar State Protected Monument..",APPROVE FOR INGESTION
42,Buxar,Ahirauli Ahilya Sthan,Ahilya Dham Ahirauli,temple,Ramayana Circuit Site,25.5895,83.9512,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Buxar,https://buxar.nic.in/tourist-places/,"Verified coordinates (25.5895, 83.9512) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Core Ramayana Circuit destination in Bihar.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Core Ramayana Circuit destination in Bihar..",APPROVE FOR INGESTION
43,Darbhanga,Darbhanga Raj Palace Complex,Laxmi Vilas Palace / Anand Bagh Palace,historical,Royal Palace Architecture,26.1494,85.8919,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,"Directorate of Archaeology & Museums, Bihar",https://yac.bihar.gov.in/,"Verified coordinates (26.1494, 85.8919) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",26,EXACT MATCH,CONFIRMED,Symbol of Mithila royal heritage and premier architectural landmark of north-eastern Bihar.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Symbol of Mithila royal heritage and premier architectural landmark of north-eastern Bihar..",KEEP EXISTING
44,Darbhanga,Shyama Mai Temple,Shyama Kali Mandir,temple,Historic Tantric Goddess Temple,26.1458,85.8985,APPROVED-CANDIDATE,HIGH,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.1458, 85.8985) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Foremost religious destination in Darbhanga town, officially featured on darbhanga.nic.in.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Darbhanga (NIC Portal). Destination features legitimate visitor heritage: Foremost religious destination in Darbhanga town, officially featured on darbhanga.nic.in..",APPROVE FOR INGESTION
45,Darbhanga,"Ahilya Sthan, Ahiyari",Ahilya Dham,temple,Ramayana Heritage Temple,26.2215,85.7485,APPROVED-CANDIDATE,HIGH,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.2215, 85.7485) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Official Ramayana Circuit destination in Mithila.,EXACT - PINPOINT VERIFIED,Verified by District Administration Darbhanga (NIC Portal). Destination features legitimate visitor heritage: Official Ramayana Circuit destination in Mithila..,APPROVE FOR INGESTION
46,Darbhanga,Chandradhari Museum,Darbhanga State Museum,museum,State Museum / Cultural Heritage,26.1585,85.9012,APPROVED-CANDIDATE,HIGH,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.1585, 85.9012) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Leading museum of North Bihar officially managed by Directorate of Museums, Government of Bihar.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Darbhanga (NIC Portal). Destination features legitimate visitor heritage: Leading museum of North Bihar officially managed by Directorate of Museums, Government of Bihar..",APPROVE FOR INGESTION
47,Darbhanga,Kusheshwar Asthan Bird Sanctuary & Temple,Kusheshwar Asthan Wetland,nature,Wetland Sanctuary & Shiva Temple,25.8125,86.1158,APPROVED-CANDIDATE,HIGH,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.8125, 86.1158) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Major eco-tourism and birdwatching haven declared a wildlife sanctuary by Bihar Government in 1994.,EXACT - PINPOINT VERIFIED,Verified by District Administration Darbhanga (NIC Portal). Destination features legitimate visitor heritage: Major eco-tourism and birdwatching haven declared a wildlife sanctuary by Bihar Government in 1994..,APPROVE FOR INGESTION
48,Darbhanga,Nargona Palace,Nargona Royal Palace,historical,Art Deco Heritage Palace,26.1512,85.8895,APPROVED-CANDIDATE,MEDIUM,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/,"Directorate of Archaeology & Museums, Bihar",https://yac.bihar.gov.in/,"Verified coordinates (26.1512, 85.8895) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Unique twentieth-century engineering and royal architectural landmark.,EXACT - PINPOINT VERIFIED,Verified by District Administration Darbhanga (NIC Portal). Destination features legitimate visitor heritage: Unique twentieth-century engineering and royal architectural landmark..,APPROVE FOR INGESTION
49,East Champaran,Kesariya Stupa,Ancient Kesaria Buddhist Stupa,historical,World's Tallest Buddhist Stupa / ASI Monument,26.3290,84.8542,DUPLICATE / ALIAS,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.3290, 84.8542) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",18,EXACT MATCH,CONFIRMED,Global Buddhist pilgrimage destination of national and international significance.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: Global Buddhist pilgrimage destination of national and international significance..,KEEP EXISTING
50,East Champaran,Areraj Someshwar Nath Temple & Ashokan Pillar,Lauriya Areraj Pillar / Someshwar Mandir,historical,Ashokan Pillar & Ancient Shiva Temple / ASI Monument,26.5412,84.7485,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.5412, 84.7485) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument and prominent Shravani pilgrimage centre.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument and prominent Shravani pilgrimage centre..,APPROVE FOR INGESTION
51,East Champaran,"Gandhi Memorial & Sangrahalaya, Motihari",Champaran Satyagraha Memorial,cultural,National Freedom Movement Memorial,26.6485,84.9125,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (26.6485, 84.9125) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Historic birthground of India's civil disobedience movement, official Gandhi Circuit anchor.",EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Historic birthground of India's civil disobedience movement, official Gandhi Circuit anchor..",APPROVE FOR INGESTION
52,East Champaran,George Orwell Birthplace & Memorial,Eric Arthur Blair Birthplace,historical,Literary Heritage Bungalow,26.6452,84.9085,APPROVED-CANDIDATE,HIGH,District Administration East Champaran (NIC Portal),https://eastchamparan.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (26.6452, 84.9085) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Internationally recognized literary tourism destination drawing global travelers and literature enthusiasts.,EXACT - PINPOINT VERIFIED,Verified by District Administration East Champaran (NIC Portal). Destination features legitimate visitor heritage: Internationally recognized literary tourism destination drawing global travelers and literature enthusiasts..,APPROVE FOR INGESTION
53,East Champaran,Sagar Dih Mound & Stupa,Sagardih Fort,historical,Ancient Stupa & Fortified Mound / ASI Monument,26.8541,84.8124,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (26.8541, 84.8124) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument of National Importance.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument of National Importance..,APPROVE FOR INGESTION
54,Gaya,Barabar Caves & Siddheshwar Nath,Barabar Hill Rock Caves,historical,Ancient Rock-Cut Caves / ASI Monument,25.0061,85.0621,DUPLICATE / ALIAS,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,"Directorate of Archaeology & Museums, Bihar",https://yac.bihar.gov.in/,"Verified coordinates (25.0061, 85.0621) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",5,EXACT MATCH,CONFIRMED,World-famous architectural wonder inspired E.M. Forster's A Passage to India.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: World-famous architectural wonder inspired E.M. Forster's A Passage to India..,KEEP EXISTING
55,Gaya,Vishnupad Temple Gaya,Vishnupada Mandir,temple,Historic Pilgrimage Temple / State Protected,24.7492,84.9865,DUPLICATE / ALIAS,HIGH,District Administration Gaya (NIC Portal),https://gaya.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (24.7492, 84.9865) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",6,EXACT MATCH,CONFIRMED,"Core centre of Pind Daan rituals for ancestors, attracting millions during the annual Pitrapaksha Mela.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Gaya (NIC Portal). Destination features legitimate visitor heritage: Core centre of Pind Daan rituals for ancestors, attracting millions during the annual Pitrapaksha Mela..",KEEP EXISTING
56,Gaya,"Great Buddha Statue, Bodh Gaya",Daibutsu 80-Foot Buddha,tourist_spot,Colossal Statue & Garden,24.6975,84.9878,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Gaya,https://gaya.nic.in/tourist-places/,"Verified coordinates (24.6975, 84.9878) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",7,EXACT MATCH,CONFIRMED,Major visual landmark of Bodh Gaya pilgrimage landscape.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Major visual landmark of Bodh Gaya pilgrimage landscape..",KEEP EXISTING
57,Gaya,Mahabodhi Temple Complex & Bodhi Tree,Mahabodhi Mahavihara,historical,UNESCO World Heritage Site,24.6959,84.9914,APPROVED-CANDIDATE,HIGH,District Administration Gaya,https://gaya.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (24.6959, 84.9914) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Most sacred Buddhist pilgrimage destination in the world.,EXACT - PINPOINT VERIFIED,Verified by District Administration Gaya. Destination features legitimate visitor heritage: Most sacred Buddhist pilgrimage destination in the world..,APPROVE FOR INGESTION
58,Gaya,Sujata Stupa & Kuti,Bakraur Stupa,historical,Ancient Brick Stupa / ASI Monument,24.6925,85.0028,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.6925, 85.0028) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument on the international Buddhist circuit.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument on the international Buddhist circuit..,APPROVE FOR INGESTION
59,Gaya,Dungeshwari Cave Temples,Mahakala Caves,mountain,Meditation Caves & Hill,24.7850,85.0650,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.7850, 85.0650) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",104,EXACT MATCH,CONFIRMED,Major Buddhist meditation site.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Major Buddhist meditation site..",KEEP EXISTING
60,Gaya,Pretshila Hill & Ram Kund,Pretshila Pahar,mountain,Sacred Hill & Pind Daan Shrine,24.8150,84.9820,DUPLICATE / ALIAS,HIGH,District Administration Gaya (NIC Portal),https://gaya.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (24.8150, 84.9820) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",105,EXACT MATCH,CONFIRMED,State Protected Monument and key Pitrapaksha pilgrimage destination.,EXACT - PINPOINT VERIFIED,Verified by District Administration Gaya (NIC Portal). Destination features legitimate visitor heritage: State Protected Monument and key Pitrapaksha pilgrimage destination..,KEEP EXISTING
61,Gaya,Brahmayoni Hill,Brahmayoni Pahar,mountain,Highest Hill Peak & Cave Shrines,24.7700,84.9850,DUPLICATE / ALIAS,HIGH,District Administration Gaya (NIC Portal),https://gaya.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (24.7700, 84.9850) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",111,EXACT MATCH,CONFIRMED,"State Protected Monument, panoramic sunset and heritage viewpoint.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Gaya (NIC Portal). Destination features legitimate visitor heritage: State Protected Monument, panoramic sunset and heritage viewpoint..",KEEP EXISTING
62,Gaya,Gehlaur Ghati - Dashrath Manjhi Smarak,Mountain Man Memorial,tourist_spot,Inspirational Memorial & Valley Pass,24.8720,85.2420,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Incredible India (Ministry of Tourism),https://www.incredibleindia.org/,"Verified coordinates (24.8720, 85.2420) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",112,EXACT MATCH,CONFIRMED,World-famous symbol of human willpower and unique inspirational tourism destination.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: World-famous symbol of human willpower and unique inspirational tourism destination..",KEEP EXISTING
63,Gaya,Kauwadol Hill & Colossal Buddha Statue,Kauwadol Peak,historical,Archaeological Hill & Colossal Rock Sculpture / ASI,24.9745,85.0412,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration Gaya,https://gaya.nic.in/tourist-places/,"Verified coordinates (24.9745, 85.0412) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument of National Importance.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument of National Importance..,APPROVE FOR INGESTION
64,Gaya,Koncheswar Mahadev Temple,Konch Shiva Temple,historical,Ancient Brick Temple / ASI Monument,24.9312,84.7812,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,"Directorate of Archaeology & Museums, Bihar",https://yac.bihar.gov.in/,"Verified coordinates (24.9312, 84.7812) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument of National Importance.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument of National Importance..,APPROVE FOR INGESTION
65,Gaya,Kurkihar Archaeological Site,Ancient Kukkutapadagiri,historical,Ancient Buddhist Monastery Mound,24.8152,85.2512,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.8152, 85.2512) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument..,APPROVE FOR INGESTION
66,Gopalganj,Thawe Mandir,Thawe Wali Mata / Rahshu Bhagat Dham,temple,Shaktipeeth Temple & Forest Grove,26.4385,84.3912,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (26.4385, 84.3912) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Foremost pilgrimage and cultural landmark of Gopalganj district, state-level tourism destination.",EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Foremost pilgrimage and cultural landmark of Gopalganj district, state-level tourism destination..",APPROVE FOR INGESTION
67,Gopalganj,Lakri Dargah,Shah Arzan Dargah,cultural,Historic Sufi Shrine & 40-Day Urs,26.3125,84.4512,APPROVED-CANDIDATE,HIGH,District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.3125, 84.4512) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Significant Sufi pilgrimage site officially documented on gopalganj.nic.in.,EXACT - PINPOINT VERIFIED,Verified by District Administration Gopalganj (NIC Portal). Destination features legitimate visitor heritage: Significant Sufi pilgrimage site officially documented on gopalganj.nic.in..,APPROVE FOR INGESTION
68,Gopalganj,Dighwa Dubauli Archaeological Mounds,Dighwa Dubauli Pyramids,historical,Ancient Pyramidal Mounds,26.2815,84.7215,APPROVED-CANDIDATE,HIGH,District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/,Archaeological Survey of India,https://asi.nic.in/,"Verified coordinates (26.2815, 84.7215) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Official historical tourist attraction on gopalganj.nic.in.,EXACT - PINPOINT VERIFIED,Verified by District Administration Gopalganj (NIC Portal). Destination features legitimate visitor heritage: Official historical tourist attraction on gopalganj.nic.in..,APPROVE FOR INGESTION
69,Gopalganj,Husepur Fort Ruins,Husepur Qila,historical,Historical Fort of Kalyanpur Raj,26.5412,84.2815,APPROVED-CANDIDATE,MEDIUM,District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (26.5412, 84.2815) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Prominent regional history and revolt landmark.,EXACT - PINPOINT VERIFIED,Verified by District Administration Gopalganj (NIC Portal). Destination features legitimate visitor heritage: Prominent regional history and revolt landmark..,APPROVE FOR INGESTION
70,Gopalganj,"Shri Pitambara Peeth, Baglamukhi Mandir",Bagalamukhi Mandir Gopalganj,temple,Tantric Shakti Shrine,26.4712,84.4385,APPROVED-CANDIDATE,MEDIUM,District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (26.4712, 84.4385) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Documented place of worship on official portal.,EXACT - PINPOINT VERIFIED,Verified by District Administration Gopalganj (NIC Portal). Destination features legitimate visitor heritage: Documented place of worship on official portal..,APPROVE FOR INGESTION
71,Jamui,Nakti Dam Bird Sanctuary,Nakti Dam Reservoir,nature,Ramsar Wetland & Bird Sanctuary,24.8450,86.4850,DUPLICATE / ALIAS,HIGH,Ramsar Wetlands Secretariat (UNESCO/IUCN),https://rsis.ramsar.org/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (24.8450, 86.4850) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",67,EXACT MATCH,CONFIRMED,Premier avian eco-tourism destination in south-eastern Bihar.,EXACT - PINPOINT VERIFIED,Verified by Ramsar Wetlands Secretariat (UNESCO/IUCN). Destination features legitimate visitor heritage: Premier avian eco-tourism destination in south-eastern Bihar..,KEEP EXISTING
72,Jamui,Nagi Dam Bird Sanctuary,Nagi Dam Wetland,nature,Ramsar Wetland & Bird Sanctuary,24.8215,86.4685,APPROVED-CANDIDATE,HIGH,Ramsar Wetlands Secretariat (UNESCO/IUCN),https://rsis.ramsar.org/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (24.8215, 86.4685) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,National-level conservation and eco-tourism landmark.,EXACT - PINPOINT VERIFIED,Verified by Ramsar Wetlands Secretariat (UNESCO/IUCN). Destination features legitimate visitor heritage: National-level conservation and eco-tourism landmark..,APPROVE FOR INGESTION
73,Jamui,Giddheswar Temple,Giddheshwar Dham,temple,Hilltop Shiva Temple,24.8350,86.2200,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.8350, 86.2200) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",57,EXACT MATCH,CONFIRMED,Major regional pilgrimage site.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Major regional pilgrimage site..",KEEP EXISTING
74,Jamui,Simultala Hill Station,Simultala Colonial Retreat,mountain,Hill Station & Health Resort,24.7136,86.5422,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,"Directorate of Archaeology & Museums, Bihar",https://yac.bihar.gov.in/,"Verified coordinates (24.7136, 86.5422) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",59,EXACT MATCH,CONFIRMED,"The only hill station in Bihar alongside Valmikinagar, celebrated destination for retreat tourism.",EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: The only hill station in Bihar alongside Valmikinagar, celebrated destination for retreat tourism..",KEEP EXISTING
75,Jamui,"Minto Tower, Gidhaur",Gidhaur Minto Memorial,historical,Colonial Architectural Tower,24.8579,86.3004,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,"Directorate of Archaeology & Museums, Bihar",https://yac.bihar.gov.in/,"Verified coordinates (24.8579, 86.3004) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",61,EXACT MATCH,CONFIRMED,Unique architectural monument in rural Bihar.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Unique architectural monument in rural Bihar..",KEEP EXISTING
76,Jamui,Lachhuar Jain Temple & Kundagram,Lachhuar Digambar Jain Tirth,temple,Jain Pilgrimage & Mahavira Birthplace,24.9145,86.0144,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (24.9145, 86.0144) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",63,EXACT MATCH,CONFIRMED,National-level pilgrimage stop on the official Jain Circuit.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: National-level pilgrimage stop on the official Jain Circuit..",KEEP EXISTING
77,Jehanabad,Barabar Caves Complex,Barabar Hill Mauryan Rock Caves,historical,Ancient Rock-Cut Caves / ASI Monument,25.0061,85.0621,WRONG DISTRICT,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.0061, 85.0621) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",5,BORDER CONFLICT,BORDER RECTIFICATION REQUIRED,ASI Centrally Protected Monument of supreme national and architectural importance.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument of supreme national and architectural importance..,UPDATE DISTRICT TO JEHANABAD
78,Jehanabad,Nagarjuni Caves,Nagarjuni Hill Caves,historical,Mauryan Inscribed Caves / ASI Monument,25.0125,85.0785,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration Jehanabad,https://jehanabad.nic.in/tourist-places/,"Verified coordinates (25.0125, 85.0785) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monuments of National Importance.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monuments of National Importance..,APPROVE FOR INGESTION
79,Jehanabad,Baba Siddheshwarnath Temple,Siddheshwar Nath Mandir,temple,Ancient Hilltop Shiva Temple,25.0085,85.0635,APPROVED-CANDIDATE,HIGH,District Administration Jehanabad (NIC Portal),https://jehanabad.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.0085, 85.0635) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Foremost pilgrimage shrine in Jehanabad district, officially featured on jehanabad.nic.in.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Jehanabad (NIC Portal). Destination features legitimate visitor heritage: Foremost pilgrimage shrine in Jehanabad district, officially featured on jehanabad.nic.in..",APPROVE FOR INGESTION
