full_path,filename,extension,size_bytes,category,purpose,referenced_by,dependencies,safe_to_move,is_temporary,secret_present
D:\HiddenYatra\scratch\audit_districts_detail.py,audit_districts_detail.py,.py,664,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_dump.json,audit_dump.json,.json,107805,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,scratch/check_img_generation.py; scratch/generate_all_structure_audit_reports.py; scratch/phase2_full_extract.py; scratch/trace_images.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_famous_for.py,audit_famous_for.py,.py,825,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_db",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_inventory_148.py,audit_inventory_148.py,.py,1308,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from collections import Counter; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_jamui_images.py,audit_jamui_images.py,.py,3895,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import os, sys; import json; import urllib.request; import subprocess; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_map_db.py,audit_map_db.py,.py,2510,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from dotenv import load_dotenv; from models.connection import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_map_places.py,audit_map_places.py,.py,856,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; import json; from models.places import get_places_for_map; from models.database import get_districts_by_state, get_state_by_slug",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_osm_blocks.py,audit_osm_blocks.py,.py,1385,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import urllib.request; import urllib.parse; import json; import time,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_phase2c_sources.py,audit_phase2c_sources.py,.py,5713,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import json; import urllib.request; import urllib.parse,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_phase2d_blocks.py,audit_phase2d_blocks.py,.py,4109,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import json; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_phase2e_db.py,audit_phase2e_db.py,.py,2526,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import json; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_phase2e_hotels_homestays.py,audit_phase2e_hotels_homestays.py,.py,4767,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import json; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_places_1_30.py,audit_places_1_30.py,.py,636,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_db",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_places_districts.py,audit_places_districts.py,.py,838,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_project_structure.py,audit_project_structure.py,.py,1642,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import re; import csv; import json; from pathlib import Path,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\audit_upstream_license.py,audit_upstream_license.py,.py,2189,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import urllib.request; import json,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\backup_db.py,backup_db.py,.py,3362,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",scratch/generate_all_structure_audit_reports.py,"import sys, os; from dotenv import load_dotenv; import pymysql",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\backup_feature_homestay_booking.sql,backup_feature_homestay_booking.sql,.sql,271284,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/run_backup.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\backup_hiddenyatra_20260814_1934.sql,backup_hiddenyatra_20260814_1934.sql,.sql,277126,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/backup_db.py; scratch/final_forensic_audit.py; scratch/final_forensic_results.json; scratch/phase1_verify.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\batch2_extracted.json,batch2_extracted.json,.json,13174,P. TEMPORARY / DEBUG,Temporary diagnostic dump or test report JSON,scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\batch2_full_md.json,batch2_full_md.json,.json,20207,P. TEMPORARY / DEBUG,Temporary diagnostic dump or test report JSON,scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\batch4_analysis.py,batch4_analysis.py,.py,2850,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import sys; import csv; import math; from dotenv import load_dotenv; from models.connection import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\batch5_candidate_pool.py,batch5_candidate_pool.py,.py,2741,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys, csv, os, math; from dotenv import load_dotenv; load_dotenv(); from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\build_blocks_geojson.py,build_blocks_geojson.py,.py,12847,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import os; import sys; import json; import re; import urllib.request; from dotenv import load_dotenv,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\build_phase2e_geojson.py,build_phase2e_geojson.py,.py,5971,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import os; import sys; import json; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\cache_all_place_images.py,cache_all_place_images.py,.py,2675,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import os; import urllib.request; import hashlib; from dotenv import load_dotenv; import sys; from models.database import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\capture_batch4_screenshots.py,capture_batch4_screenshots.py,.py,3357,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",No direct code references found,import os; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\capture_batch5_screenshots.py,capture_batch5_screenshots.py,.py,3873,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",No direct code references found,import os; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\capture_batch6_screenshots.py,capture_batch6_screenshots.py,.py,4186,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",No direct code references found,import os; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\capture_batch7_screenshots.py,capture_batch7_screenshots.py,.py,3135,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",No direct code references found,import os; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\capture_batch8_screenshots.py,capture_batch8_screenshots.py,.py,3303,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",No direct code references found,import os; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\capture_destination_screenshots.py,capture_destination_screenshots.py,.py,3044,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",No direct code references found,import os; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_actual_districts.py,check_actual_districts.py,.py,850,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import pymysql, os, dotenv",YES (SAFE TO MOVE),YES,YES
D:\HiddenYatra\scratch\check_all_places_integrity.py,check_all_places_integrity.py,.py,845,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_context_processor.py,check_context_processor.py,.py,922,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys; from app import create_app; from config import MAP_ENGINE, GOOGLE_MAPS_API_KEY; from flask import render_template",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_datta07.py,check_datta07.py,.py,922,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import urllib.request; import json,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_districts_exact.py,check_districts_exact.py,.py,1253,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_districts_places.py,check_districts_places.py,.py,495,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from dotenv import load_dotenv; load_dotenv(); from models.connection import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_district_foods.py,check_district_foods.py,.py,659,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, io; from dotenv import load_dotenv; from models.database import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_district_ids.py,check_district_ids.py,.py,415,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from dotenv import load_dotenv; from models.connection import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_district_images.py,check_district_images.py,.py,435,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from dotenv import load_dotenv; from models.database import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_district_places_images.py,check_district_places_images.py,.py,2117,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from dotenv import load_dotenv; from models.database import get_cursor; import os,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_dist_places.py,check_dist_places.py,.py,992,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os, pymysql, dotenv",YES (SAFE TO MOVE),YES,YES
D:\HiddenYatra\scratch\check_existing_district_mapping.py,check_existing_district_mapping.py,.py,842,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import pymysql, os, dotenv",YES (SAFE TO MOVE),YES,YES
D:\HiddenYatra\scratch\check_images.py,check_images.py,.py,1089,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_db",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_img_generation.py,check_img_generation.py,.py,829,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os, glob; import json",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_jamui.py,check_jamui.py,.py,1524,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,from models.database import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_jamui_waterfall.py,check_jamui_waterfall.py,.py,956,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys; from dotenv import load_dotenv; from models.connection import get_cursor; from models.search_engine import instant_search, parse_nl_intent, get_search_index",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_live_db_images.py,check_live_db_images.py,.py,366,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import json,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_other_tables.py,check_other_tables.py,.py,724,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_db",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_patna_osm.py,check_patna_osm.py,.py,1180,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import urllib.request; import urllib.parse; import json,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_place44.py,check_place44.py,.py,363,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_places_cols.py,check_places_cols.py,.py,500,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_place_pages.py,check_place_pages.py,.py,640,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from dotenv import load_dotenv; from models.connection import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_remaining_candidates.py,check_remaining_candidates.py,.py,2312,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; import os; from dotenv import load_dotenv; load_dotenv(); from models.connection import get_cursor; import csv,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_remaining_priority.py,check_remaining_priority.py,.py,3405,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; import os; import csv; import re; from models.connection import get_db; from collections import defaultdict,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_routes.py,check_routes.py,.py,175,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import requests,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_schema.py,check_schema.py,.py,609,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_schema2.py,check_schema2.py,.py,715,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_db",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\check_specs_qmarks.py,check_specs_qmarks.py,.py,654,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, io; from dotenv import load_dotenv; from models.database import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\compare_districts.py,compare_districts.py,.py,1178,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import os, sys; import json; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\comprehensive_content_audit.py,comprehensive_content_audit.py,.py,3853,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, io, os, re; from dotenv import load_dotenv; from models.database import get_cursor; import requests",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\comprehensive_structure_auditor.py,comprehensive_structure_auditor.py,.py,10616,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import re; import csv; import json; from pathlib import Path,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\control_audit_results.json,control_audit_results.json,.json,2845,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,scratch/audit_comprehensive_controls.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\convert_backup.ps1,convert_backup.ps1,.ps1,328,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\db_audit.py,db_audit.py,.py,4300,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os; from dotenv import load_dotenv; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\debug_instant_search.py,debug_instant_search.py,.py,531,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys; from dotenv import load_dotenv; from models.search_engine import get_search_index, instant_search",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\debug_place_scripts.py,debug_place_scripts.py,.py,355,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import requests,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\debug_search.py,debug_search.py,.py,323,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import sys; from models.search_engine import get_search_index,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\demo_env_check.py,demo_env_check.py,.py,2098,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os, io; from dotenv import load_dotenv; from config import GOOGLE_MAPS_API_KEY, GOOGLE_MAPS_MAP_ID, MAP_ENGINE, DB_HOST, DB_NAME; from models.database import get_cursor; import requests",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\demo_flow_validation_report.json,demo_flow_validation_report.json,.json,1164,P. TEMPORARY / DEBUG,Temporary diagnostic dump or test report JSON,scratch/generate_all_structure_audit_reports.py; scratch/validate_full_demo_flow.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\describe_places.py,describe_places.py,.py,379,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys, io; from dotenv import load_dotenv; from models.database import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\detailed_district_parity.py,detailed_district_parity.py,.py,6487,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import os, sys; import json; from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\diagnose_delete_click.py,diagnose_delete_click.py,.py,2342,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import sys; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\diagnose_root.py,diagnose_root.py,.py,640,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import urllib.request; import urllib.error,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\download_and_assign_place_photos.py,download_and_assign_place_photos.py,.py,12473,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import os; import urllib.request; import urllib.parse; import json; import hashlib; from dotenv import load_dotenv,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_admin_star_tester.py,e2e_admin_star_tester.py,.py,8888,J. TESTS,Ad-hoc verification or scratch test script,No direct code references found,import sys; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By; from dotenv import load_dotenv,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_controls_audit_report.json,e2e_controls_audit_report.json,.json,10196,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,scratch/e2e_controls_tester.py; scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_controls_tester.py,e2e_controls_tester.py,.py,25993,J. TESTS,Ad-hoc verification or scratch test script,scratch/generate_all_structure_audit_reports.py,import os; import sys; import time; import json; import traceback; from selenium import webdriver,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_delete_buttons_tester.py,e2e_delete_buttons_tester.py,.py,5480,J. TESTS,Ad-hoc verification or scratch test script,No direct code references found,import sys; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By; from selenium.webdriver.support.ui import WebDriverWait,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_full_verification.py,e2e_full_verification.py,.py,2303,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import sys; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_notifications_tester.py,e2e_notifications_tester.py,.py,8209,J. TESTS,Ad-hoc verification or scratch test script,No direct code references found,import sys; import time; from datetime import datetime; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_stay_booking_tester.py,e2e_stay_booking_tester.py,.py,14846,J. TESTS,Ad-hoc verification or scratch test script,No direct code references found,"import sys; import os; import time; import json; from datetime import date, timedelta; from dotenv import load_dotenv",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\e2e_stay_card_images_tester.py,e2e_stay_card_images_tester.py,.py,6120,J. TESTS,Ad-hoc verification or scratch test script,No direct code references found,import sys; import time; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\evaluate_batch5_options.py,evaluate_batch5_options.py,.py,9058,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys, csv, os, math; from dotenv import load_dotenv; load_dotenv(); from models.connection import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\evaluate_candidate_options.py,evaluate_candidate_options.py,.py,2383,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import sys; import math; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\execute_batch3_insertion.py,execute_batch3_insertion.py,.py,13245,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",No direct code references found,import sys; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\execute_batch4_insertion.py,execute_batch4_insertion.py,.py,13428,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",No direct code references found,import sys; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\execute_batch5_insertion.py,execute_batch5_insertion.py,.py,13518,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",No direct code references found,import sys; from dotenv import load_dotenv; load_dotenv(); from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\execute_batch6_insertion.py,execute_batch6_insertion.py,.py,16288,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",No direct code references found,import sys; import os; from dotenv import load_dotenv; load_dotenv(); from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\execute_batch7_insertion.py,execute_batch7_insertion.py,.py,17608,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",No direct code references found,import sys; import os; import pymysql; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\execute_batch8_insertion.py,execute_batch8_insertion.py,.py,17850,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",No direct code references found,import sys; import os; import pymysql; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\extract_osm_bihar_forests_waterfalls.py,extract_osm_bihar_forests_waterfalls.py,.py,12674,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import os; import sys; import json; import time; import urllib.request; import urllib.parse,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\extract_osm_bihar_water.py,extract_osm_bihar_water.py,.py,12819,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import os; import sys; import json; import time; import urllib.request; import urllib.parse,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\extract_phase2c_data.py,extract_phase2c_data.py,.py,13225,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import os; import sys; import json; import time; import urllib.request; import urllib.parse,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\final_db_check.py,final_db_check.py,.py,983,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\final_forensic_audit.py,final_forensic_audit.py,.py,15080,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os, json, re; from dotenv import load_dotenv; from models.connection import get_db; from app import create_app",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\final_forensic_results.json,final_forensic_results.json,.json,110218,P. TEMPORARY / DEBUG,Temporary diagnostic dump or test report JSON,scratch/final_forensic_audit.py; scratch/generate_all_structure_audit_reports.py; scratch/view_forensic_summary.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\final_route_test.py,final_route_test.py,.py,3628,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys, io, requests, time",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\final_sih_audit.py,final_sih_audit.py,.py,9758,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, io, re, json, requests",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\final_sih_demo_flow_check.py,final_sih_demo_flow_check.py,.py,5016,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os, io, re, json; from dotenv import load_dotenv; from config import GOOGLE_MAPS_API_KEY, GOOGLE_MAPS_MAP_ID, MAP_ENGINE, DB_HOST, DB_NAME; from models.database import get_cursor, get_place_by_slug, get_nearby_places; import requests",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\find_all_qmarks.py,find_all_qmarks.py,.py,1667,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys, io; from dotenv import load_dotenv; from models.database import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\find_all_qmarks_accurate.py,find_all_qmarks_accurate.py,.py,1432,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys, io; from dotenv import load_dotenv; from models.database import get_cursor",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\find_live_districts.py,find_live_districts.py,.py,1220,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,import urllib.request; import re,YES (SAFE TO MOVE),YES,NO
